request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Requested 15656000 IDR; up to 15656000 IDR is safe to pay on 2025-08-03 while keeping the 24768300 IDR minimum balance. The full amount is safe today, so full payment on 2025-08-03 is recommended."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Requested 6670 ZAR; up to 6670 ZAR is safe to pay on 2026-07-05 while keeping the 20500 ZAR minimum balance. The full amount is safe today, so full payment on 2026-07-05 is recommended."
request_28,291.355,affordable_later,wait,2024-08-13:1302.4,2024-08-13,none,"Requested 1302.4 EUR; up to 291.355 EUR is safe to pay on 2024-06-07 while keeping the 1100 EUR minimum balance. Full payment is not safe today; it is projected to become safe on 2024-08-13, so waiting is recommended."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Requested 51524 ZAR; up to 51524 ZAR is safe to pay on 2025-11-04 while keeping the 28300 ZAR minimum balance. The full amount is safe today, so full payment on 2025-11-04 is recommended."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Requested 775.2 USD; up to 775.2 USD is safe to pay on 2026-04-06 while keeping the 900 USD minimum balance. Full payment today is not safe, so the supplied installment option payment_option_83 is recommended: 3 payment(s) of 268.74 USD starting 2026-04-06."
request_31,2732930.06,affordable_later,wait,2024-10-16:18164000,2024-10-16,none,"Requested 18164000 IDR; up to 2732930.06 IDR is safe to pay on 2024-09-03 while keeping the 16588900 IDR minimum balance. Full payment is not safe today; it is projected to become safe on 2024-10-16, so waiting is recommended."
request_32,13372.45,not_affordable,not_recommended,none,,none,"Requested 40018 ZAR; up to 13372.45 ZAR is safe to pay on 2025-02-05 while keeping the 35700 ZAR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_33,34513.45,affordable_later,wait,2026-02-15:118000,2026-02-15,none,"Requested 118000 INR; up to 34513.45 INR is safe to pay on 2026-01-07 while keeping the 102100 INR minimum balance. Full payment is not safe today; it is projected to become safe on 2026-02-15, so waiting is recommended."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Requested 129400 INR; up to 129400 INR is safe to pay on 2024-12-04 while keeping the 138500 INR minimum balance. The full amount is safe today, so full payment on 2024-12-04 is recommended."
request_35,22877.65,not_affordable,not_recommended,none,2026-01-16,none,"Requested 212000 INR; up to 22877.65 INR is safe to pay on 2025-10-30 while keeping the 106400 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_36,732.59,affordable_later,wait,2026-08-14:3954,2026-08-14,none,"Requested 3954 USD; up to 732.59 USD is safe to pay on 2026-07-03 while keeping the 2400 USD minimum balance. Full payment is not safe today; it is projected to become safe on 2026-08-14, so waiting is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_37,3996485.340,not_affordable,not_recommended,none,,none,"Requested 14649000 IDR; up to 3996485.340 IDR is safe to pay on 2024-03-05 while keeping the 17056200 IDR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_38,204.36,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,"Requested 971.3 EUR; up to 204.36 EUR is safe to pay on 2025-08-07 while keeping the 400 EUR minimum balance. Full payment is not safe today; it is projected to become safe on 2025-09-15, so waiting is recommended."
request_39,152651.555,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"Requested 208600 INR; up to 152651.555 INR is safe to pay on 2026-04-04 while keeping the 213400 INR minimum balance. Full payment is not safe today; it is projected to become safe on 2026-04-15, so waiting is recommended."
request_40,357.17,not_affordable,not_recommended,none,,none,"Requested 1290.3 EUR; up to 357.17 EUR is safe to pay on 2024-06-06 while keeping the 1500 EUR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_41,11597655.07,affordable_later,wait,2025-12-16:38760000,2025-12-16,none,"Requested 38760000 IDR; up to 11597655.07 IDR is safe to pay on 2025-11-03 while keeping the 25366600 IDR minimum balance. Full payment is not safe today; it is projected to become safe on 2025-12-16, so waiting is recommended."
